dim_lokacija_sk,lokacija_id,lokacija_naziv,nivo,drzava,statisticna_regija,tip_destinacije
32,LOK_00032,Domžale,OBCINA,Slovenija,,OSTALO
33,LOK_00033,Dornava,OBCINA,Slovenija,,OSTALO
34,LOK_00034,Dravograd,OBCINA,Slovenija,,OSTALO
35,LOK_00035,Duplek,OBCINA,Slovenija,,OSTALO
36,LOK_00036,Gorenja vas - Poljane,OBCINA,Slovenija,,OSTALO
37,LOK_00037,Gorišnica,OBCINA,Slovenija,,OSTALO
38,LOK_00038,Gorje,OBCINA,Slovenija,,OSTALO
39,LOK_00039,Gornja Radgona,OBCINA,Slovenija,,OSTALO
40,LOK_00040,Gornji Grad,OBCINA,Slovenija,,OSTALO
41,LOK_00041,Gornji Petrovci,OBCINA,Slovenija,,OSTALO
42,LOK_00042,Grad,OBCINA,Slovenija,,OSTALO
43,LOK_00043,Grosuplje,OBCINA,Slovenija,,OSTALO
44,LOK_00044,Hajdina,OBCINA,Slovenija,,OSTALO
45,LOK_00045,Hodoš/Hodos,OBCINA,Slovenija,,OSTALO
46,LOK_00046,Horjul,OBCINA,Slovenija,,OSTALO
47,LOK_00047,Hoče - Slivnica,OBCINA,Slovenija,,OSTALO
48,LOK_00048,Hrastnik,OBCINA,Slovenija,,OSTALO
49,LOK_00049,Hrpelje - Kozina,OBCINA,Slovenija,,OSTALO
50,LOK_00050,Idrija,OBCINA,Slovenija,,OSTALO
51,LOK_00051,Ig,OBCINA,Slovenija,,OSTALO
52,LOK_00052,Ilirska Bistrica,OBCINA,Slovenija,,OSTALO
53,LOK_00053,Ivančna Gorica,OBCINA,Slovenija,,OSTALO
54,LOK_00054,Izola/Isola,OBCINA,Slovenija,,OBMORSKA
55,LOK_00055,Jesenice,OBCINA,Slovenija,,OSTALO
56,LOK_00056,Jezersko,OBCINA,Slovenija,,OSTALO
57,LOK_00057,Juršinci,OBCINA,Slovenija,,OSTALO
58,LOK_00058,Kamnik,OBCINA,Slovenija,,OSTALO
59,LOK_00059,Kanal,OBCINA,Slovenija,,OSTALO
60,LOK_00060,Kidričevo,OBCINA,Slovenija,,OSTALO
61,LOK_00061,Kobarid,OBCINA,Slovenija,,GORSKA
62,LOK_00062,Kobilje,OBCINA,Slovenija,,OSTALO
63,LOK_00063,Komen,OBCINA,Slovenija,,OSTALO
64,LOK_00064,Komenda,OBCINA,Slovenija,,OSTALO
65,LOK_00065,Koper/Capodistria,OBCINA,Slovenija,,OBMORSKA
66,LOK_00066,Kostanjevica na Krki,OBCINA,Slovenija,,OSTALO
67,LOK_00067,Kostel,OBCINA,Slovenija,,OSTALO
68,LOK_00068,Kozje,OBCINA,Slovenija,,OSTALO
69,LOK_00069,Kočevje,OBCINA,Slovenija,,OSTALO
70,LOK_00070,Kranj,OBCINA,Slovenija,,MESTNA
71,LOK_00071,Kranjska Gora,OBCINA,Slovenija,,GORSKA
72,LOK_00072,Križevci,OBCINA,Slovenija,,OSTALO
73,LOK_00073,Krško,OBCINA,Slovenija,,OSTALO
74,LOK_00074,Kungota,OBCINA,Slovenija,,OSTALO
75,LOK_00075,Kuzma,OBCINA,Slovenija,,OSTALO
76,LOK_00076,Laško,OBCINA,Slovenija,,OSTALO
77,LOK_00077,Lenart,OBCINA,Slovenija,,OSTALO
78,LOK_00078,Lendava/Lendva,OBCINA,Slovenija,,OSTALO
79,LOK_00079,Litija,OBCINA,Slovenija,,OSTALO
80,LOK_00080,Ljubljana,OBCINA,Slovenija,,MESTNA
81,LOK_00081,Ljubno,OBCINA,Slovenija,,OSTALO
82,LOK_00082,Ljutomer,OBCINA,Slovenija,,OSTALO
83,LOK_00083,Log - Dragomer,OBCINA,Slovenija,,OSTALO
84,LOK_00084,Logatec,OBCINA,Slovenija,,OSTALO
85,LOK_00085,Lovrenc na Pohorju,OBCINA,Slovenija,,OSTALO
86,LOK_00086,Loška dolina,OBCINA,Slovenija,,OSTALO
87,LOK_00087,Loški Potok,OBCINA,Slovenija,,OSTALO
88,LOK_00088,Lukovica,OBCINA,Slovenija,,OSTALO
89,LOK_00089,Luče,OBCINA,Slovenija,,OSTALO
90,LOK_00090,Majšperk,OBCINA,Slovenija,,OSTALO
91,LOK_00091,Makole,OBCINA,Slovenija,,OSTALO
92,LOK_00092,Maribor,OBCINA,Slovenija,,MESTNA
93,LOK_00093,Markovci,OBCINA,Slovenija,,OSTALO
94,LOK_00094,Medvode,OBCINA,Slovenija,,OSTALO
95,LOK_00095,Mengeš,OBCINA,Slovenija,,OSTALO
96,LOK_00096,Metlika,OBCINA,Slovenija,,OSTALO
97,LOK_00097,Mežica,OBCINA,Slovenija,,OSTALO
98,LOK_00098,Miklavž na Dravskem polju,OBCINA,Slovenija,,OSTALO
99,LOK_00099,Miren - Kostanjevica,OBCINA,Slovenija,,OSTALO
100,LOK_00100,Mirna,OBCINA,Slovenija,,OSTALO
101,LOK_00101,Mirna Peč,OBCINA,Slovenija,,OSTALO
102,LOK_00102,Mislinja,OBCINA,Slovenija,,OSTALO
103,LOK_00103,Mokronog - Trebelno,OBCINA,Slovenija,,OSTALO
104,LOK_00104,Moravske Toplice,OBCINA,Slovenija,,OSTALO
105,LOK_00105,Moravče,OBCINA,Slovenija,,OSTALO
106,LOK_00106,Mozirje,OBCINA,Slovenija,,OSTALO
107,LOK_00107,Murska Sobota,OBCINA,Slovenija,,OSTALO
108,LOK_00108,Muta,OBCINA,Slovenija,,OSTALO
109,LOK_00109,Naklo,OBCINA,Slovenija,,OSTALO
110,LOK_00110,Nazarje,OBCINA,Slovenija,,OSTALO
111,LOK_00111,Nova Gorica,OBCINA,Slovenija,,OSTALO
112,LOK_00112,Novo mesto,OBCINA,Slovenija,,MESTNA
113,LOK_00113,Odranci,OBCINA,Slovenija,,OSTALO
114,LOK_00114,Oplotnica,OBCINA,Slovenija,,OSTALO
115,LOK_00115,Ormož,OBCINA,Slovenija,,OSTALO
116,LOK_00116,Osilnica,OBCINA,Slovenija,,OSTALO
117,LOK_00117,Pesnica,OBCINA,Slovenija,,OSTALO
118,LOK_00118,Piran/Pirano,OBCINA,Slovenija,,OBMORSKA
119,LOK_00119,Pivka,OBCINA,Slovenija,,OSTALO
120,LOK_00120,Podlehnik,OBCINA,Slovenija,,OSTALO
121,LOK_00121,Podvelka,OBCINA,Slovenija,,OSTALO
122,LOK_00122,Podčetrtek,OBCINA,Slovenija,,OSTALO
123,LOK_00123,Poljčane,OBCINA,Slovenija,,OSTALO
124,LOK_00124,Polzela,OBCINA,Slovenija,,OSTALO
125,LOK_00125,Postojna,OBCINA,Slovenija,,OSTALO
126,LOK_00126,Prebold,OBCINA,Slovenija,,OSTALO
